Date	Town	ProjectName	Story	PropertyType	Model	Tenure	AreaSQM	PricePSF	Price
1-May-19	Ang Mo Kio	Blk 601 Ang Mo Kio Avenue 5	XX to XX	4-Room	New Generation	99 Yrs FROM 1980	91	"3,961"	"360,000"
1-May-19	Ang Mo Kio	Blk 511 Ang Mo Kio Avenue 8	XX to XX	4-Room	New Generation	99 Yrs FROM 1980	92	"4,133"	"380,000"
1-May-19	Ang Mo Kio	Blk 588A Ang Mo Kio Street 52	XX to XX	4-Room	Dbss	99 Yrs FROM 2011	90	"7,341"	"660,000"
1-May-19	Ang Mo Kio	Blk 588B Ang Mo Kio Street 52	XX to XX	4-Room	Dbss	99 Yrs FROM 2011	90	"7,115"	"640,000"
1-May-19	Ang Mo Kio	Blk 588C Ang Mo Kio Street 52	XX to XX	4-Room	Dbss	99 Yrs FROM 2011	90	"8,202"	"738,000"
1-May-19	Ang Mo Kio	Blk 596B Ang Mo Kio Street 52	XX to XX	4-Room	Model A	99 Yrs FROM 2002	91	"7,040"	"640,000"
28-Jun-19	Bedok	Blk 219B Bedok Central	XX to XX	4-Room	Model A	99 Yrs FROM 2010	87	"8,116"	"706,000"
28-Jun-19	Bedok	Blk 512 Bedok North Avenue 2	XX to XX	4-Room	New Generation	99 Yrs FROM 1979	92	"3,918"	"360,000"
28-Jun-19	Bedok	Blk 513 Bedok North Avenue 2	XX to XX	4-Room	New Generation	99 Yrs FROM 1979	92	"3,918"	"360,000"
28-Jun-19	Bedok	Blk 517 Bedok North Avenue 2	XX to XX	4-Room	New Generation	99 Yrs FROM 1979	92	"4,004"	"368,000"
28-Jun-19	Bedok	Blk 508 Bedok North Avenue 3	XX to XX	4-Room	New Generation	99 Yrs FROM 1978	92	"3,810"	"350,000"
28-Jun-19	Bedok	Blk 95 Bedok North Avenue 4	XX to XX	4-Room	New Generation	99 Yrs FROM 1979	92	"4,004"	"368,000"
28-Jun-19	Bedok	Blk 82 Bedok North Road	XX to XX	4-Room	New Generation	99 Yrs FROM 1978	92	"4,080"	"375,000"
28-Jun-19	Bedok	Blk 115 Bedok North Road	XX to XX	4-Room	New Generation	99 Yrs FROM 1978	98	"3,724"	"365,000"
28-Jun-19	Bedok	Blk 121 Bedok North Road	XX to XX	4-Room	New Generation	99 Yrs FROM 1978	92	"4,133"	"380,000"
28-Jun-19	Bedok	Blk 180 Bedok North Road	XX to XX	4-Room	Model A	99 Yrs FROM 2006	85	"6,954"	"590,000"
28-Jun-19	Bedok	Blk 182 Bedok North Road	XX to XX	4-Room	Model A	99 Yrs FROM 2006	85	"6,631"	"563,000"
28-Jun-19	Bedok	Blk 185 Bedok North Road	XX to XX	4-Room	Model A	99 Yrs FROM 2005	85	"6,889"	"585,000"
28-Jun-19	Bedok	Blk 428 Bedok North Road	XX to XX	4-Room	New Generation	99 Yrs FROM 1979	92	"4,166"	"383,000"
28-Jun-19	Bedok	Blk 705 Bedok North Road	XX to XX	4-Room	New Generation	99 Yrs FROM 1980	91	"3,854"	"350,000"
28-Jun-19	Bedok	Blk 705 Bedok North Road	XX to XX	4-Room	New Generation	99 Yrs FROM 1980	91	"4,069"	"370,000"
28-Jun-19	Bedok	Blk 130 Bedok North Street 2	XX to XX	4-Room	New Generation	99 Yrs FROM 1978	92	"4,725"	"435,000"
28-Jun-19	Bedok	Blk 86 Bedok North Street 4	XX to XX	4-Room	New Generation	99 Yrs FROM 1978	89	"3,993"	"355,000"
28-Jun-19	Bedok	Blk 103 Bedok Reservoir Road	XX to XX	4-Room	New Generation	99 Yrs FROM 1985	91	"3,875"	"352,800"
28-Jun-19	Bedok	Blk 132 Bedok Reservoir Road	XX to XX	4-Room	Model A	99 Yrs FROM 1987	103	"3,983"	"410,000"
28-Jun-19	Bedok	Blk 627 Bedok Reservoir Road	XX to XX	4-Room	New Generation	99 Yrs FROM 1981	91	"4,069"	"370,000"
28-Jun-19	Bedok	Blk 718 Bedok Reservoir Road	XX to XX	4-Room	Model A	99 Yrs FROM 1984	104	"4,133"	"430,000"
28-Jun-19	Bedok	Blk 69 Bedok South Avenue 3	XX to XX	4-Room	New Generation	99 Yrs FROM 1978	92	"4,241"	"390,000"
28-Jun-19	Bedok	Blk 42 Bedok South Road	XX to XX	4-Room	Improved	99 Yrs FROM 1977	84	"3,606"	"303,000"
28-Jun-19	Bedok	Blk 35 Chai Chee Avenue	XX to XX	4-Room	Improved	99 Yrs FROM 1975	82	"4,446"	"363,888"
28-Jun-19	Bedok	Blk 35 Chai Chee Avenue	XX to XX	4-Room	Improved	99 Yrs FROM 1975	82	"4,704"	"385,000"
28-Jun-19	Bedok	Blk 43 Chai Chee Street	XX to XX	4-Room	New Generation	99 Yrs FROM 1980	92	"4,629"	"426,000"
28-Jun-19	Bedok	Blk 654 Jalan Tenaga	XX to XX	4-Room	Model A	99 Yrs FROM 1996	108	"4,219"	"456,000"
28-Jun-19	Bedok	Blk 51 New Upper Changi Road	XX to XX	4-Room	Improved	99 Yrs FROM 1977	84	"3,810"	"320,000"
28-Jun-19	Bedok	Blk 52 New Upper Changi Road	XX to XX	4-Room	Improved	99 Yrs FROM 1977	84	"4,833"	"406,000"
28-Jun-19	Bedok	Blk 53 New Upper Changi Road	XX to XX	4-Room	Improved	99 Yrs FROM 1977	84	"3,929"	"330,000"
1-May-19	Bedok	Blk 512 Bedok North Avenue 2	XX to XX	4-Room	New Generation	99 Yrs FROM 1979	92	"3,746"	"345,000"
1-May-19	Bedok	Blk 512 Bedok North Avenue 2	XX to XX	4-Room	New Generation	99 Yrs FROM 1979	92	"3,864"	"355,000"
1-May-19	Bedok	Blk 79 Bedok North Road	XX to XX	4-Room	New Generation	99 Yrs FROM 1978	92	"3,660"	"337,000"
1-May-19	Bedok	Blk 112 Bedok North Road	XX to XX	4-Room	New Generation	99 Yrs FROM 1978	89	"3,940"	"350,000"
1-May-19	Bedok	Blk 182 Bedok North Road	XX to XX	4-Room	Model A	99 Yrs FROM 2006	92	"6,846"	"630,000"
1-May-19	Bedok	Blk 705 Bedok North Road	XX to XX	4-Room	New Generation	99 Yrs FROM 1980	91	"4,596"	"418,000"
1-May-19	Bedok	Blk 105 Bedok Reservoir Road	XX to XX	4-Room	New Generation	99 Yrs FROM 1985	93	"4,349"	"404,888"
1-May-19	Bedok	Blk 116 Bedok Reservoir Road	XX to XX	4-Room	New Generation	99 Yrs FROM 1986	93	"4,090"	"380,000"
1-May-19	Bedok	Blk 133 Bedok Reservoir Road	XX to XX	4-Room	Simplified	99 Yrs FROM 1987	84	"4,187"	"352,000"
1-May-19	Bedok	Blk 147 Bedok Reservoir Road	XX to XX	4-Room	Simplified	99 Yrs FROM 1987	84	"4,338"	"364,000"
1-May-19	Bedok	Blk 626 Bedok Reservoir Road	XX to XX	4-Room	New Generation	99 Yrs FROM 1981	92	"4,263"	"392,000"
1-May-19	Bedok	Blk 765 Bedok Reservoir View	XX to XX	4-Room	Premium Apartment	99 Yrs FROM 2000	105	"5,339"	"560,000"
1-May-19	Bedok	Blk 766 Bedok Reservoir View	XX to XX	4-Room	Premium Apartment	99 Yrs FROM 2000	105	"5,188"	"545,000"
1-May-19	Bedok	Blk 37 Bedok South Avenue 2	XX to XX	4-Room	Improved	99 Yrs FROM 1977	84	"3,789"	"318,000"
1-May-19	Bedok	Blk 159 Bedok South Avenue 3	XX to XX	4-Room	Simplified	99 Yrs FROM 1985	83	"5,038"	"418,000"
1-May-19	Bedok	Blk 71 Bedok South Road	XX to XX	4-Room	New Generation	99 Yrs FROM 1978	92	"4,435"	"408,000"
1-May-19	Bedok	Blk 165 Bedok South Road	XX to XX	4-Room	Simplified	99 Yrs FROM 1985	83	"4,402"	"365,000"
1-May-19	Bedok	Blk 172 Bedok South Road	XX to XX	4-Room	Simplified	99 Yrs FROM 1985	84	"4,629"	"389,000"
1-May-19	Bedok	Blk 60 Chai Chee Road	XX to XX	4-Room	Model A	99 Yrs FROM 1982	105	"4,381"	"460,000"
1-May-19	Bedok	Blk 61 Chai Chee Road	XX to XX	4-Room	New Generation	99 Yrs FROM 1982	91	"4,015"	"365,000"
1-May-19	Bedok	Blk 112 Lengkong Tiga	XX to XX	4-Room	Model A	99 Yrs FROM 1989	104	"6,232"	"648,000"
1-May-19	Bedok	Blk 51 New Upper Changi Road	XX to XX	4-Room	Improved	99 Yrs FROM 1977	84	"3,692"	"310,000"
1-May-19	Bedok	Blk 51 New Upper Changi Road	XX to XX	4-Room	Improved	99 Yrs FROM 1977	84	"4,144"	"348,000"
1-May-19	Bedok	Blk 63 New Upper Changi Road	XX to XX	4-Room	New Generation	99 Yrs FROM 1978	92	"4,564"	"420,000"
28-Jun-19	Bishan	Blk 149 Bishan Street 11	XX to XX	4-Room	Simplified	99 Yrs FROM 1987	84	"5,597"	"470,000"
28-Jun-19	Bishan	Blk 131 Bishan Street 12	XX to XX	4-Room	Model A	99 Yrs FROM 1986	104	"5,845"	"608,000"
28-Jun-19	Bishan	Blk 154 Bishan Street 13	XX to XX	4-Room	Simplified	99 Yrs FROM 1987	84	"5,479"	"460,000"
28-Jun-19	Bishan	Blk 167 Bishan Street 13	XX to XX	4-Room	Simplified	99 Yrs FROM 1988	84	"4,639"	"390,000"
28-Jun-19	Bishan	Blk 175 Bishan Street 13	XX to XX	4-Room	Simplified	99 Yrs FROM 1987	88	"4,209"	"370,000"
28-Jun-19	Bishan	Blk 239 Bishan Street 22	XX to XX	4-Room	Model A	99 Yrs FROM 1992	105	"4,263"	"448,000"
28-Jun-19	Bishan	Blk 263 Bishan Street 22	XX to XX	4-Room	Model A	99 Yrs FROM 1992	104	"4,962"	"515,888"
28-Jun-19	Bishan	Blk 207 Bishan Street 23	XX to XX	4-Room	Model A	99 Yrs FROM 1992	103	"6,028"	"620,000"
28-Jun-19	Bishan	Blk 220 Bishan Street 23	XX to XX	4-Room	Model A	99 Yrs FROM 1992	113	"5,780"	"653,000"
28-Jun-19	Bishan	Blk 224 Bishan Street 23	XX to XX	4-Room	Model A	99 Yrs FROM 1992	102	"5,834"	"595,000"
28-Jun-19	Bishan	Blk 229 Bishan Street 23	XX to XX	4-Room	Model A	99 Yrs FROM 1992	105	"4,521"	"475,000"
28-Jun-19	Bishan	Blk 264 Bishan Street 24	XX to XX	4-Room	Model A	99 Yrs FROM 1992	112	"4,908"	"550,000"
28-Jun-19	Bishan	Blk 403 Sin Ming Avenue	XX to XX	4-Room	Simplified	99 Yrs FROM 1986	89	"5,619"	"500,000"
1-May-19	Bishan	Blk 149 Bishan Street 11	XX to XX	4-Room	Model A	99 Yrs FROM 1987	102	"5,005"	"510,000"
1-May-19	Bishan	Blk 506 Bishan Street 11	XX to XX	4-Room	Model A	99 Yrs FROM 1989	103	"6,997"	"720,000"
1-May-19	Bishan	Blk 112 Bishan Street 12	XX to XX	4-Room	Model A	99 Yrs FROM 1985	104	"5,673"	"590,000"
1-May-19	Bishan	Blk 131 Bishan Street 12	XX to XX	4-Room	Simplified	99 Yrs FROM 1986	84	"6,200"	"521,000"
1-May-19	Bishan	Blk 167 Bishan Street 13	XX to XX	4-Room	Simplified	99 Yrs FROM 1988	84	"4,618"	"388,000"
1-May-19	Bishan	Blk 232 Bishan Street 22	XX to XX	4-Room	Model A	99 Yrs FROM 1992	105	"4,758"	"500,000"
1-May-19	Bishan	Blk 249 Bishan Street 22	XX to XX	4-Room	Model A	99 Yrs FROM 1992	105	"5,350"	"562,000"
1-May-19	Bishan	Blk 260 Bishan Street 22	XX to XX	4-Room	Model A	99 Yrs FROM 1992	112	"5,274"	"590,000"
1-May-19	Bishan	Blk 213 Bishan Street 23	XX to XX	4-Room	Model A	99 Yrs FROM 1992	103	"5,339"	"550,000"
1-May-19	Bishan	Blk 224 Bishan Street 23	XX to XX	4-Room	Model A	99 Yrs FROM 1992	102	"5,597"	"570,000"
1-May-19	Bishan	Blk 451 Sin Ming Avenue	XX to XX	4-Room	Model A	99 Yrs FROM 1990	108	"5,005"	"540,000"
1-May-19	Bishan	Blk 454 Sin Ming Avenue	XX to XX	4-Room	Model A	99 Yrs FROM 1989	105	"4,284"	"450,000"
28-Jun-19	Bukit Batok	Blk 258 Bukit Batok East Avenue 4	XX to XX	4-Room	Model A	99 Yrs FROM 1985	103	"3,057"	"315,000"
28-Jun-19	Bukit Batok	Blk 258 Bukit Batok East Avenue 4	XX to XX	4-Room	Model A	99 Yrs FROM 1985	103	"3,671"	"378,000"
28-Jun-19	Bukit Batok	Blk 241 Bukit Batok East Avenue 5	XX to XX	4-Room	New Generation	99 Yrs FROM 1985	96	"3,961"	"380,000"
28-Jun-19	Bukit Batok	Blk 242 Bukit Batok East Avenue 5	XX to XX	4-Room	New Generation	99 Yrs FROM 1985	99	"3,843"	"380,000"
28-Jun-19	Bukit Batok	Blk 243 Bukit Batok East Avenue 5	XX to XX	4-Room	New Generation	99 Yrs FROM 1985	98	"3,574"	"350,000"
28-Jun-19	Bukit Batok	Blk 249 Bukit Batok East Avenue 5	XX to XX	4-Room	Model A	99 Yrs FROM 1985	103	"3,401"	"350,000"
28-Jun-19	Bukit Batok	Blk 209 Bukit Batok Street 21	XX to XX	4-Room	Model A	99 Yrs FROM 1985	104	"3,993"	"415,000"
28-Jun-19	Bukit Batok	Blk 291D Bukit Batok Street 24	XX to XX	4-Room	Model A	99 Yrs FROM 1998	102	"3,778"	"385,000"
28-Jun-19	Bukit Batok	Blk 288D Bukit Batok Street 25	XX to XX	4-Room	Model A2	99 Yrs FROM 1998	92	"3,864"	"355,000"
28-Jun-19	Bukit Batok	Blk 288D Bukit Batok Street 25	XX to XX	4-Room	Model A2	99 Yrs FROM 1998	92	"4,402"	"405,000"
28-Jun-19	Bukit Batok	Blk 289F Bukit Batok Street 25	XX to XX	4-Room	Model A2	99 Yrs FROM 1998	92	"4,080"	"375,000"
28-Jun-19	Bukit Batok	Blk 289G Bukit Batok Street 25	XX to XX	4-Room	Model A	99 Yrs FROM 1998	102	"3,929"	"400,000"
28-Jun-19	Bukit Batok	Blk 336 Bukit Batok Street 32	XX to XX	4-Room	Simplified	99 Yrs FROM 1986	84	"3,692"	"310,000"
28-Jun-19	Bukit Batok	Blk 322 Bukit Batok Street 33	XX to XX	4-Room	New Generation	99 Yrs FROM 1985	93	"3,509"	"326,000"
28-Jun-19	Bukit Batok	Blk 337 Bukit Batok Street 34	XX to XX	4-Room	Model A	99 Yrs FROM 1986	104	"3,509"	"365,000"
28-Jun-19	Bukit Batok	Blk 338 Bukit Batok Street 34	XX to XX	4-Room	Model A	99 Yrs FROM 1986	104	"3,132"	"326,000"
28-Jun-19	Bukit Batok	Blk 527 Bukit Batok Street 51	XX to XX	4-Room	Simplified	99 Yrs FROM 1987	88	"3,466"	"305,000"
28-Jun-19	Bukit Batok	Blk 537 Bukit Batok Street 52	XX to XX	4-Room	Model A	99 Yrs FROM 1987	103	"3,208"	"330,000"
28-Jun-19	Bukit Batok	Blk 541 Bukit Batok Street 52	XX to XX	4-Room	Simplified	99 Yrs FROM 1986	84	"3,671"	"308,000"
28-Jun-19	Bukit Batok	Blk 383 Bukit Batok West Avenue 5	XX to XX	4-Room	Model A	99 Yrs FROM 2005	86	"4,962"	"426,000"
28-Jun-19	Bukit Batok	Blk 386 Bukit Batok West Avenue 5	XX to XX	4-Room	Model A	99 Yrs FROM 2004	90	"4,112"	"370,000"
28-Jun-19	Bukit Batok	Blk 386 Bukit Batok West Avenue 5	XX to XX	4-Room	Model A	99 Yrs FROM 2004	90	"4,338"	"390,000"
28-Jun-19	Bukit Batok	Blk 392 Bukit Batok West Avenue 5	XX to XX	4-Room	Model A	99 Yrs FROM 2004	92	"4,951"	"455,888"
28-Jun-19	Bukit Batok	Blk 395 Bukit Batok West Avenue 5	XX to XX	4-Room	Model A	99 Yrs FROM 2004	92	"4,263"	"392,000"
28-Jun-19	Bukit Batok	Blk 114 Bukit Batok West Avenue 6	XX to XX	4-Room	Model A	99 Yrs FROM 1984	104	"3,703"	"385,000"
28-Jun-19	Bukit Batok	Blk 119 Bukit Batok West Avenue 6	XX to XX	4-Room	Model A	99 Yrs FROM 1984	103	"3,186"	"328,000"
28-Jun-19	Bukit Batok	Blk 127 Bukit Batok West Avenue 6	XX to XX	4-Room	Model A	99 Yrs FROM 1985	103	"3,595"	"370,000"
28-Jun-19	Bukit Batok	Blk 130 Bukit Batok West Avenue 6	XX to XX	4-Room	Model A	99 Yrs FROM 1984	107	"3,261"	"349,000"
28-Jun-19	Bukit Batok	Blk 148 Bukit Batok West Avenue 6	XX to XX	4-Room	New Generation	99 Yrs FROM 1984	93	"3,498"	"325,000"
28-Jun-19	Bukit Batok	Blk 189 Bukit Batok West Avenue 6	XX to XX	4-Room	Model A	99 Yrs FROM 1997	98	"4,155"	"406,800"
28-Jun-19	Bukit Batok	Blk 175 Bukit Batok West Avenue 8	XX to XX	4-Room	New Generation	99 Yrs FROM 1985	93	"3,337"	"310,000"
28-Jun-19	Bukit Batok	Blk 184 Bukit Batok West Avenue 8	XX to XX	4-Room	New Generation	99 Yrs FROM 1984	93	"3,746"	"348,000"
1-May-19	Bukit Batok	Blk 104 Bukit Batok Central	XX to XX	4-Room	Model A	99 Yrs FROM 1985	107	"3,789"	"405,000"
1-May-19	Bukit Batok	Blk 104 Bukit Batok Central	XX to XX	4-Room	Model A	99 Yrs FROM 1985	104	"4,284"	"445,000"
1-May-19	Bukit Batok	Blk 106 Bukit Batok Central	XX to XX	4-Room	Model A	99 Yrs FROM 1985	104	"3,800"	"395,000"
1-May-19	Bukit Batok	Blk 106 Bukit Batok Central	XX to XX	4-Room	Model A	99 Yrs FROM 1985	104	"3,940"	"410,000"
1-May-19	Bukit Batok	Blk 620 Bukit Batok Central	XX to XX	4-Room	Model A	99 Yrs FROM 2003	90	"6,135"	"552,000"
1-May-19	Bukit Batok	Blk 264 Bukit Batok East Avenue 4	XX to XX	4-Room	Model A	99 Yrs FROM 1985	103	"3,649"	"376,000"
1-May-19	Bukit Batok	Blk 266 Bukit Batok East Avenue 4	XX to XX	4-Room	Simplified	99 Yrs FROM 1985	84	"3,627"	"305,000"
1-May-19	Bukit Batok	Blk 268 Bukit Batok East Avenue 4	XX to XX	4-Room	Model A	99 Yrs FROM 1985	104	"3,552"	"368,888"
1-May-19	Bukit Batok	Blk 238 Bukit Batok East Avenue 5	XX to XX	4-Room	New Generation	99 Yrs FROM 1986	97	"3,552"	"345,000"
1-May-19	Bukit Batok	Blk 240 Bukit Batok East Avenue 5	XX to XX	4-Room	New Generation	99 Yrs FROM 1985	99	"3,337"	"330,000"
1-May-19	Bukit Batok	Blk 244 Bukit Batok East Avenue 5	XX to XX	4-Room	New Generation	99 Yrs FROM 1985	96	"3,520"	"338,000"
1-May-19	Bukit Batok	Blk 210 Bukit Batok Street 21	XX to XX	4-Room	Model A	99 Yrs FROM 1985	104	"3,993"	"415,000"
1-May-19	Bukit Batok	Blk 211 Bukit Batok Street 21	XX to XX	4-Room	Model A	99 Yrs FROM 1985	108	"3,617"	"390,000"
1-May-19	Bukit Batok	Blk 217 Bukit Batok Street 21	XX to XX	4-Room	New Generation	99 Yrs FROM 1984	93	"3,767"	"350,000"
1-May-19	Bukit Batok	Blk 363 Bukit Batok Street 31	XX to XX	4-Room	New Generation	99 Yrs FROM 1987	94	"3,272"	"307,000"
1-May-19	Bukit Batok	Blk 370 Bukit Batok Street 31	XX to XX	4-Room	Simplified	99 Yrs FROM 1985	84	"4,026"	"338,000"
1-May-19	Bukit Batok	Blk 325 Bukit Batok Street 33	XX to XX	4-Room	Simplified	99 Yrs FROM 1986	84	"3,574"	"300,000"
1-May-19	Bukit Batok	Blk 329 Bukit Batok Street 33	XX to XX	4-Room	Simplified	99 Yrs FROM 1986	84	"3,574"	"300,000"
1-May-19	Bukit Batok	Blk 331 Bukit Batok Street 33	XX to XX	4-Room	Simplified	99 Yrs FROM 1986	84	"3,509"	"295,000"
1-May-19	Bukit Batok	Blk 340 Bukit Batok Street 34	XX to XX	4-Room	Model A	99 Yrs FROM 1987	103	"3,014"	"310,000"
1-May-19	Bukit Batok	Blk 341 Bukit Batok Street 34	XX to XX	4-Room	Model A	99 Yrs FROM 1986	103	"3,595"	"370,000"
1-May-19	Bukit Batok	Blk 350 Bukit Batok Street 34	XX to XX	4-Room	Model A	99 Yrs FROM 1987	104	"3,079"	"320,000"
1-May-19	Bukit Batok	Blk 510 Bukit Batok Street 52	XX to XX	4-Room	Simplified	99 Yrs FROM 1986	84	"3,810"	"320,000"
1-May-19	Bukit Batok	Blk 536 Bukit Batok Street 52	XX to XX	4-Room	Model A	99 Yrs FROM 1986	107	"3,132"	"335,000"
1-May-19	Bukit Batok	Blk 421 Bukit Batok West Avenue 2	XX to XX	4-Room	New Generation	99 Yrs FROM 1988	94	"3,617"	"340,000"
1-May-19	Bukit Batok	Blk 408 Bukit Batok West Avenue 4	XX to XX	4-Room	New Generation	99 Yrs FROM 1988	94	"3,358"	"315,000"
1-May-19	Bukit Batok	Blk 383 Bukit Batok West Avenue 5	XX to XX	4-Room	Model A	99 Yrs FROM 2005	86	"4,069"	"350,000"
1-May-19	Bukit Batok	Blk 384 Bukit Batok West Avenue 5	XX to XX	4-Room	Model A	99 Yrs FROM 2005	92	"4,219"	"388,000"
1-May-19	Bukit Batok	Blk 391 Bukit Batok West Avenue 5	XX to XX	4-Room	Model A	99 Yrs FROM 2004	92	"4,295"	"395,000"
1-May-19	Bukit Batok	Blk 393 Bukit Batok West Avenue 5	XX to XX	4-Room	Model A	99 Yrs FROM 2004	92	"4,241"	"390,000"
